n,sigma_minus_n,factorization
7390,1.80244,"2 × 5 × 739"
7391,1.05534,"19 × 389"
7392,3.27273,"2^5 × 3 × 7 × 11"
7393,1.00014,"7393"
7394,1.50041,"2 × 3697"
7395,1.75254,"3 × 5 × 17 × 29"
7396,1.79164,"2^2 × 43^2"
7397,1.07882,"13 × 569"
7398,2.23844,"2 × 3^3 × 137"
7399,1.17097,"7^2 × 151"
7400,2.38784,"2^3 × 5^2 × 37"
7401,1.33387,"3 × 2467"
7402,1.50041,"2 × 3701"
7403,1.09253,"11 × 673"
7404,2.33712,"2^2 × 3 × 617"
7405,1.20081,"5 × 1481"
7406,1.79206,"2 × 7 × 23^2"
7407,1.4462,"3^2 × 823"
7408,1.94168,"2^4 × 463"
7409,1.03658,"31 × 239"
7410,2.72065,"2 × 3 × 5 × 13 × 19"
7411,1.00013,"7411"
7412,1.86994,"2^2 × 17 × 109"
7413,1.52813,"3 × 7 × 353"
7414,1.64122,"2 × 11 × 337"
7415,1.20081,"5 × 1483"
7416,2.73463,"2^3 × 3^2 × 103"
7417,1.00013,"7417"
7418,1.5004,"2 × 3709"
7419,1.33387,"3 × 2473"
7420,2.44528,"2^2 × 5 × 7 × 53"
7421,1.03005,"41 × 181"
7422,2.00162,"2 × 3 × 1237"
7423,1.07881,"13 × 571"
7424,2.06492,"2^8 × 29"
7425,2.00404,"3^3 × 5^2 × 11"
7426,1.55131,"2 × 47 × 79"
7427,1.14393,"7 × 1061"
7428,2.3371,"2^2 × 3 × 619"
7429,1.16301,"17 × 19 × 23"
7430,1.80242,"2 × 5 × 743"
7431,1.33387,"3 × 2477"
7432,1.87702,"2^3 × 929"
7433,1.00013,"7433"
7434,2.51816,"2 × 3^2 × 7 × 59"
7435,1.20081,"5 × 1487"
7436,2.06724,"2^2 × 11 × 13^2"
7437,1.38981,"3 × 37 × 67"
7438,1.5004,"2 × 3719"
7439,1.02917,"43 × 173"
7440,3.2,"2^4 × 3 × 5 × 31"
7441,1.14393,"7 × 1063"
7442,1.52499,"2 × 61^2"
7443,1.44619,"3^2 × 827"
7444,1.75094,"2^2 × 1861"
7445,1.20081,"5 × 1489"
7446,2.14666,"2 × 3 × 17 × 73"
7447,1.09252,"11 × 677"
7448,2.29592,"2^3 × 7^2 × 19"
7449,1.44342,"3 × 13 × 191"
7450,1.87248,"2 × 5^2 × 149"
7451,1.00013,"7451"
7452,2.72786,"2^2 × 3^4 × 23"
7453,1.03851,"29 × 257"
7454,1.5004,"2 × 3727"
7455,1.85433,"3 × 5 × 7 × 71"
7456,1.9772,"2^5 × 233"
7457,1.00013,"7457"
7458,2.20113,"2 × 3 × 11 × 113"
7459,1.00013,"7459"
7460,2.10563,"2^2 × 5 × 373"
7461,1.44619,"3^2 × 829"
7462,1.89118,"2 × 7 × 13 × 41"
7463,1.06124,"17 × 439"
7464,2.50804,"2^3 × 3 × 311"
7465,1.2008,"5 × 1493"
7466,1.5004,"2 × 3733"
7467,1.41422,"3 × 19 × 131"
7468,1.75094,"2^2 × 1867"
7469,1.25961,"7 × 11 × 97"
7470,2.63133,"2 × 3^2 × 5 × 83"
7471,1.03654,"31 × 241"
7472,1.94165,"2^4 × 467"
7473,1.38739,"3 × 47 × 53"
7474,1.55579,"2 × 37 × 101"
7475,1.39344,"5^2 × 13 × 23"
7476,2.69663,"2^2 × 3 × 7 × 89"
7477,1.00013,"7477"
7478,1.5004,"2 × 3739"
7479,1.48683,"3^3 × 277"
7480,2.59893,"2^3 × 5 × 11 × 17"
7481,1.00013,"7481"
7482,2.11708,"2 × 3 × 29 × 43"
7483,1.14393,"7 × 1069"
7484,1.75094,"2^2 × 1871"
7485,1.60321,"3 × 5 × 499"
7486,1.58696,"2 × 19 × 197"
7487,1.00013,"7487"
7488,3.08681,"2^6 × 3^2 × 13"
7489,1.00013,"7489"
7490,2.07637,"2 × 5 × 7 × 107"
7491,1.46095,"3 × 11 × 227"
7492,1.75093,"2^2 × 1873"
7493,1.02496,"59 × 127"
7494,2.0016,"2 × 3 × 1249"
7495,1.2008,"5 × 1499"
7496,1.877,"2^3 × 937"
7497,1.77911,"3^2 × 7^2 × 17"
7498,1.57482,"2 × 23 × 163"
7499,1.00013,"7499"
7500,2.91573,"2^2 × 3 × 5^4"
7501,1.07879,"13 × 577"
7502,1.70195,"2 × 11^2 × 31"
7503,1.38824,"3 × 41 × 61"
7504,2.24733,"2^4 × 7 × 67"
7505,1.27915,"5 × 19 × 79"
7506,2.23821,"2 × 3^3 × 139"
7507,1.00013,"7507"
7508,1.75093,"2^2 × 1877"
7509,1.33387,"3 × 2503"
7510,1.8024,"2 × 5 × 751"
7511,1.21422,"7 × 29 × 37"
7512,2.50799,"2^3 × 3 × 313"
7513,1.09251,"11 × 683"
7514,1.716,"2 × 13 × 17^2"
7515,1.74371,"3^2 × 5 × 167"
7516,1.75093,"2^2 × 1879"
7517,1.00013,"7517"
7518,2.29848,"2 × 3 × 7 × 179"
7519,1.02354,"73 × 103"
7520,2.41277,"2^5 × 5 × 47"
7521,1.40407,"3 × 23 × 109"
7522,1.5004,"2 × 3761"
7523,1.00013,"7523"
7524,2.90271,"2^2 × 3^2 × 11 × 19"
7525,1.4501,"5^2 × 7 × 43"
7526,1.54983,"2 × 53 × 71"
7527,1.44334,"3 × 13 × 193"
7528,1.87699,"2^3 × 941"
7529,1.00013,"7529"
7530,2.40956,"2 × 3 × 5 × 251"
7531,1.06121,"17 × 443"
7532,2.00743,"2^2 × 7 × 269"
7533,1.54626,"3^5 × 31"
7534,1.5004,"2 × 3767"
7535,1.31865,"5 × 11 × 137"
7536,2.59979,"2^4 × 3 × 157"
7537,1.00013,"7537"
7538,1.5004,"2 × 3769"
7539,1.52805,"3 × 7 × 359"
7540,2.33952,"2^2 × 5 × 13 × 29"
7541,1.00013,"7541"
7542,2.17184,"2 × 3^2 × 419"
7543,1.05528,"19 × 397"
7544,2.00424,"2^3 × 23 × 41"
7545,1.60318,"3 × 5 × 503"
7546,1.9083,"2 × 7^3 × 11"
7547,1.00013,"7547"
7548,2.53736,"2^2 × 3 × 17 × 37"
7549,1.00013,"7549"
7550,1.87232,"2 × 5^2 × 151"
7551,1.44617,"3^2 × 839"
7552,2.02595,"2^7 × 59"
7553,1.2456,"7 × 13 × 83"
7554,2.00159,"2 × 3 × 1259"
7555,1.20079,"5 × 1511"
7556,1.75093,"2^2 × 1889"
7557,1.4609,"3 × 11 × 229"
7558,1.5004,"2 × 3779"
7559,1.00013,"7559"
7560,3.80952,"2^3 × 3^3 × 5 × 7"
7561,1.00013,"7561"
7562,1.58688,"2 × 19 × 199"
7563,1.33386,"3 × 2521"
7564,1.83607,"2^2 × 31 × 61"
7565,1.28486,"5 × 17 × 89"
7566,2.17605,"2 × 3 × 13 × 97"
7567,1.21792,"7 × 23 × 47"
7568,2.16279,"2^4 × 11 × 43"
7569,1.49597,"3^2 × 29^2"
7570,1.80238,"2 × 5 × 757"
7571,1.02391,"67 × 113"
7572,2.33703,"2^2 × 3 × 631"
7573,1.00013,"7573"
7574,1.71745,"2 × 7 × 541"
7575,1.6697,"3 × 5^2 × 101"
7576,1.87698,"2^3 × 947"
7577,1.00013,"7577"
7578,2.17181,"2 × 3^2 × 421"
7579,1.19699,"11 × 13 × 53"
7580,2.10554,"2^2 × 5 × 379"
7581,1.60823,"3 × 7 × 19^2"
7582,1.59536,"2 × 17 × 223"
7583,1.00013,"7583"
7584,2.65823,"2^5 × 3 × 79"
7585,1.26249,"5 × 37 × 41"
7586,1.5004,"2 × 3793"
7587,1.48675,"3^3 × 281"
7588,2.00738,"2^2 × 7 × 271"
7589,1.00013,"7589"
7590,2.73202,"2 × 3 × 5 × 11 × 23"
7591,1.00013,"7591"
7592,2.04689,"2^3 × 13 × 73"
7593,1.33386,"3 × 2531"
7594,1.5004,"2 × 3797"
7595,1.44095,"5 × 7^2 × 31"
7596,2.53976,"2^2 × 3^2 × 211"
7597,1.02356,"71 × 107"
7598,1.56357,"2 × 29 × 131"
7599,1.42124,"3 × 17 × 149"
7600,2.52895,"2^4 × 5^2 × 19"
7601,1.09249,"11 × 691"
7602,2.29834,"2 × 3 × 7 × 181"
7603,1.00013,"7603"
7604,1.75092,"2^2 × 1901"
7605,1.87692,"3^2 × 5 × 13^2"
7606,1.50039,"2 × 3803"
7607,1.00013,"7607"
7608,2.50789,"2^3 × 3 × 317"
7609,1.14391,"7 × 1087"
7610,1.80237,"2 × 5 × 761"
7611,1.38747,"3 × 43 × 59"
7612,1.92013,"2^2 × 11 × 173"
7613,1.04663,"23 × 331"
7614,2.28842,"2 × 3^4 × 47"
7615,1.20079,"5 × 1523"
7616,2.40126,"2^6 × 7 × 17"
7617,1.33386,"3 × 2539"
7618,1.6209,"2 × 13 × 293"
7619,1.05526,"19 × 401"
7620,2.82205,"2^2 × 3 × 5 × 127"
7621,1.00013,"7621"
7622,1.5555,"2 × 37 × 103"
7623,1.81451,"3^2 × 7 × 11^2"
7624,1.87697,"2^3 × 953"
7625,1.26846,"5^3 × 61"
7626,2.11487,"2 × 3 × 31 × 41"
7627,1.03842,"29 × 263"
7628,1.75092,"2^2 × 1907"
7629,1.33386,"3 × 2543"
7630,2.07602,"2 × 5 × 7 × 109"
7631,1.07876,"13 × 587"
7632,2.85142,"2^4 × 3^2 × 53"
7633,1.06118,"17 × 449"
7634,1.64108,"2 × 11 × 347"
7635,1.60314,"3 × 5 × 509"
7636,1.84809,"2^2 × 23 × 83"
7637,1.1439,"7 × 1091"
7638,2.13668,"2 × 3 × 19 × 67"
7639,1.00013,"7639"
7640,2.26178,"2^3 × 5 × 191"
7641,1.48672,"3^3 × 283"
7642,1.50039,"2 × 3821"
7643,1.00013,"7643"
7644,2.92308,"2^2 × 3 × 7^2 × 13"
7645,1.31851,"5 × 11 × 139"
7646,1.50039,"2 × 3823"
7647,1.33386,"3 × 2549"
7648,1.97699,"2^5 × 239"
7649,1.00013,"7649"
7650,2.84471,"2 × 3^2 × 5^2 × 17"
7651,1.1439,"7 × 1093"
7652,1.75091,"2^2 × 1913"
7653,1.33386,"3 × 2551"
7654,1.55213,"2 × 43 × 89"
7655,1.20078,"5 × 1531"
7656,2.82132,"2^3 × 3 × 11 × 29"
7657,1.17017,"13 × 19 × 31"
7658,1.71742,"2 × 7 × 547"
7659,1.54798,"3^2 × 23 × 37"
7660,2.10548,"2^2 × 5 × 383"
7661,1.02754,"47 × 163"
7662,2.00157,"2 × 3 × 1277"
7663,1.0231,"79 × 97"
7664,1.94154,"2^4 × 479"
7665,1.85362,"3 × 5 × 7 × 73"
7666,1.50039,"2 × 3833"
7667,1.18325,"11 × 17 × 41"
7668,2.62911,"2^2 × 3^3 × 71"
7669,1.00013,"7669"
7670,1.97132,"2 × 5 × 13 × 59"
7671,1.33385,"3 × 2557"
7672,2.1585,"2^3 × 7 × 137"
7673,1.00013,"7673"
7674,2.00156,"2 × 3 × 1279"
7675,1.24404,"5^2 × 307"
7676,1.86034,"2^2 × 19 × 101"
7677,1.44614,"3^2 × 853"
7678,1.64105,"2 × 11 × 349"
7679,1.1439,"7 × 1097"
7680,3.19687,"2^9 × 3 × 5"
7681,1.00013,"7681"
7682,1.57459,"2 × 23 × 167"
7683,1.44319,"3 × 13 × 197"
7684,1.86934,"2^2 × 17 × 113"
7685,1.2648,"5 × 29 × 53"
7686,2.51678,"2 × 3^2 × 7 × 61"
7687,1.00013,"7687"
7688,1.93743,"2^3 × 31^2"
7689,1.46079,"3 × 11 × 233"
7690,1.80234,"2 × 5 × 769"
7691,1.00013,"7691"
7692,2.33697,"2^2 × 3 × 641"
7693,1.17067,"7^2 × 157"
7694,1.50039,"2 × 3847"
7695,1.88694,"3^4 × 5 × 19"
7696,2.14293,"2^4 × 13 × 37"
7697,1.02897,"43 × 179"
7698,2.00156,"2 × 3 × 1283"
7699,1.00013,"7699"
7700,2.70545,"2^2 × 5^2 × 7 × 11"
7701,1.42111,"3 × 17 × 151"
7702,1.50039,"2 × 3851"
7703,1.00013,"7703"
7704,2.73364,"2^3 × 3^2 × 107"
7705,1.27086,"5 × 23 × 67"
7706,1.50039,"2 × 3853"
7707,1.52796,"3 × 7 × 367"
7708,1.83083,"2^2 × 41 × 47"
7709,1.07874,"13 × 593"
7710,2.40934,"2 × 3 × 5 × 257"
7711,1.09247,"11 × 701"
7712,1.97692,"2^5 × 241"
7713,1.44613,"3^2 × 857"
7714,1.86674,"2 × 7 × 19 × 29"
7715,1.20078,"5 × 1543"
7716,2.33696,"2^2 × 3 × 643"
7717,1.00013,"7717"
7718,1.59523,"2 × 17 × 227"
7719,1.39293,"3 × 31 × 83"
7720,2.26166,"2^3 × 5 × 193"
7721,1.14389,"7 × 1103"
7722,2.61072,"2 × 3^3 × 11 × 13"
7723,1.00013,"7723"
7724,1.75091,"2^2 × 1931"
7725,1.66939,"3 × 5^2 × 103"
7726,1.50039,"2 × 3863"
7727,1.00013,"7727"
7728,3.08075,"2^4 × 3 × 7 × 23"
7729,1.02471,"59 × 131"
7730,1.80233,"2 × 5 × 773"
7731,1.44613,"3^2 × 859"
7732,1.75091,"2^2 × 1933"
7733,1.17936,"11 × 19 × 37"
7734,2.00155,"2 × 3 × 1289"
7735,1.5638,"5 × 7 × 13 × 17"
7736,1.87694,"2^3 × 967"
7737,1.33385,"3 × 2579"
7738,1.54924,"2 × 53 × 73"
7739,1.02339,"71 × 109"
7740,3.10388,"2^2 × 3^2 × 5 × 43"
7741,1.00013,"7741"
7742,1.76699,"2 × 7^2 × 79"
7743,1.39481,"3 × 29 × 89"
7744,2.18117,"2^6 × 11^2"
7745,1.20077,"5 × 1549"
7746,2.00155,"2 × 3 × 1291"
7747,1.0244,"61 × 127"
7748,1.89726,"2^2 × 13 × 149"
7749,1.73442,"3^3 × 7 × 41"
7750,1.93239,"2 × 5^3 × 31"
7751,1.04657,"23 × 337"
7752,2.78638,"2^3 × 3 × 17 × 19"
7753,1.00013,"7753"
7754,1.50039,"2 × 3877"
7755,1.78259,"3 × 5 × 11 × 47"
7756,2.00722,"2^2 × 7 × 277"
7757,1.00013,"7757"
7758,2.17169,"2 × 3^2 × 431"
7759,1.00013,"7759"
7760,2.34897,"2^4 × 5 × 97"
7761,1.44311,"3 × 13 × 199"
7762,1.50039,"2 × 3881"
7763,1.14389,"7 × 1109"
7764,2.33694,"2^2 × 3 × 647"
7765,1.20077,"5 × 1553"
7766,1.641,"2 × 11 × 353"
7767,1.44612,"3^2 × 863"
7768,1.87693,"2^3 × 971"
7769,1.06114,"17 × 457"
7770,2.81699,"2 × 3 × 5 × 7 × 37"
7771,1.05521,"19 × 409"
7772,1.83736,"2^2 × 29 × 67"
7773,1.33385,"3 × 2591"
7774,1.69488,"2 × 13^2 × 23"
7775,1.24399,"5^2 × 311"
7776,2.94907,"2^5 × 3^5"
7777,1.2591,"7 × 11 × 101"
7778,1.50039,"2 × 3889"
7779,1.33385,"3 × 2593"
7780,2.1054,"2^2 × 5 × 389"
7781,1.03637,"31 × 251"
7782,2.00154,"2 × 3 × 1297"
7783,1.02891,"43 × 181"
7784,2.15827,"2^3 × 7 × 139"
7785,1.74335,"3^2 × 5 × 173"
7786,1.59517,"2 × 17 × 229"
7787,1.07872,"13 × 599"
7788,2.5886,"2^2 × 3 × 11 × 59"
7789,1.00013,"7789"
7790,1.94095,"2 × 5 × 19 × 41"
7791,1.58028,"3 × 7^2 × 53"
7792,1.94148,"2^4 × 487"
7793,1.00013,"7793"
7794,2.17167,"2 × 3^2 × 433"
7795,1.20077,"5 × 1559"
7796,1.7509,"2^2 × 1949"
7797,1.40362,"3 × 23 × 113"
7798,1.71736,"2 × 7 × 557"
7799,1.09245,"11 × 709"
7800,3.33846,"2^3 × 3 × 5^2 × 13"
7801,1.03833,"29 × 269"
7802,1.55037,"2 × 47 × 83"
7803,1.57375,"3^3 × 17^2"
7804,1.7509,"2^2 × 1951"
7805,1.37758,"5 × 7 × 223"
7806,2.00154,"2 × 3 × 1301"
7807,1.03189,"37 × 211"
7808,2.02485,"2^7 × 61"
7809,1.41375,"3 × 19 × 137"
7810,1.99129,"2 × 5 × 11 × 71"
7811,1.02317,"73 × 107"
7812,2.98208,"2^2 × 3^2 × 7 × 31"
7813,1.07871,"13 × 601"
7814,1.50038,"2 × 3907"
7815,1.60307,"3 × 5 × 521"
7816,1.87692,"2^3 × 977"
7817,1.00013,"7817"
7818,2.00153,"2 × 3 × 1303"
7819,1.14388,"7 × 1117"
7820,2.3202,"2^2 × 5 × 17 × 23"
7821,1.5957,"3^2 × 11 × 79"
7822,1.50038,"2 × 3911"
7823,1.00013,"7823"
7824,2.59918,"2^4 × 3 × 163"
7825,1.24396,"5^2 × 313"
7826,1.88909,"2 × 7 × 13 × 43"
7827,1.33384,"3 × 2609"
7828,1.85999,"2^2 × 19 × 103"
7829,1.00013,"7829"
7830,2.75862,"2 × 3^3 × 5 × 29"
7831,1.02975,"41 × 191"
7832,2.06844,"2^3 × 11 × 89"
7833,1.52789,"3 × 7 × 373"
7834,1.50038,"2 × 3917"
7835,1.20077,"5 × 1567"
7836,2.33691,"2^2 × 3 × 653"
7837,1.06112,"17 × 461"
7838,1.50038,"2 × 3919"
7839,1.57877,"3^2 × 13 × 67"
7840,2.74821,"2^5 × 5 × 7^2"
7841,1.00013,"7841"
7842,2.00153,"2 × 3 × 1307"
7843,1.17506,"11 × 23 × 31"
7844,1.83121,"2^2 × 37 × 53"
7845,1.60306,"3 × 5 × 523"
7846,1.50038,"2 × 3923"
7847,1.2234,"7 × 19 × 59"
7848,2.73318,"2^3 × 3^2 × 109"
7849,1.02739,"47 × 167"
7850,1.87185,"2 × 5^2 × 157"
7851,1.33384,"3 × 2617"
7852,1.8971,"2^2 × 13 × 151"
7853,1.00013,"7853"
7854,2.64018,"2 × 3 × 7 × 11 × 17"
7855,1.20076,"5 × 1571"
7856,1.94145,"2^4 × 491"
7857,1.50923,"3^4 × 97"
7858,1.50038,"2 × 3929"
7859,1.0383,"29 × 271"
7860,2.82137,"2^2 × 3 × 5 × 131"
7861,1.14387,"7 × 1123"
7862,1.50038,"2 × 3931"
7863,1.33384,"3 × 2621"
7864,1.87691,"2^3 × 983"
7865,1.42047,"5 × 11^2 × 13"
7866,2.37986,"2 × 3^2 × 19 × 23"
7867,1.00013,"7867"
7868,2.00712,"2^2 × 7 × 281"
7869,1.38671,"3 × 43 × 61"
7870,1.80229,"2 × 5 × 787"
7871,1.06111,"17 × 463"
7872,2.71037,"2^6 × 3 × 41"
7873,1.00013,"7873"
7874,1.56058,"2 × 31 × 127"
7875,2.06019,"3^2 × 5^3 × 7"
7876,1.91976,"2^2 × 11 × 179"
7877,1.00013,"7877"
7878,2.17517,"2 × 3 × 13 × 101"
7879,1.00013,"7879"
7880,2.26142,"2^3 × 5 × 197"
7881,1.38866,"3 × 37 × 71"
7882,1.71733,"2 × 7 × 563"
7883,1.00013,"7883"
7884,2.62811,"2^2 × 3^3 × 73"
7885,1.27838,"5 × 19 × 83"
7886,1.50038,"2 × 3943"
7887,1.46063,"3 × 11 × 239"
7888,2.12221,"2^4 × 17 × 29"
7889,1.21688,"7^3 × 23"
7890,2.40913,"2 × 3 × 5 × 263"
7891,1.0787,"13 × 607"
7892,1.75089,"2^2 × 1973"
7893,1.44609,"3^2 × 877"
7894,1.50038,"2 × 3947"
7895,1.20076,"5 × 1579"
7896,2.91793,"2^3 × 3 × 7 × 47"
7897,1.02571,"53 × 149"
7898,1.64092,"2 × 11 × 359"
7899,1.33384,"3 × 2633"
7900,2.19747,"2^2 × 5^2 × 79"
7901,1.00013,"7901"
7902,2.1716,"2 × 3^2 × 439"
7903,1.14387,"7 × 1129"
7904,2.23178,"2^5 × 13 × 19"
7905,1.74877,"3 × 5 × 17 × 31"
7906,1.54819,"2 × 59 × 67"
7907,1.00013,"7907"
7908,2.33687,"2^2 × 3 × 659"
7909,1.09243,"11 × 719"
7910,2.07535,"2 × 5 × 7 × 113"
7911,1.48654,"3^3 × 293"
7912,2.00202,"2^3 × 23 × 43"
7913,1.0297,"41 × 193"
7914,2.00152,"2 × 3 × 1319"
7915,1.20076,"5 × 1583"
7916,1.75088,"2^2 × 1979"
7917,1.69761,"3 × 7 × 13 × 29"
7918,1.55494,"2 × 37 × 107"
7919,1.00013,"7919"
7920,3.66364,"2^4 × 3^2 × 5 × 11"
7921,1.01136,"89^2"
7922,1.59505,"2 × 17 × 233"
7923,1.41361,"3 × 19 × 139"
7924,2.00707,"2^2 × 7 × 283"
7925,1.24391,"5^2 × 317"
7926,2.00151,"2 × 3 × 1321"
7927,1.00013,"7927"
7928,1.87689,"2^3 × 991"
7929,1.44608,"3^2 × 881"
7930,1.97024,"2 × 5 × 13 × 61"
7931,1.25886,"7 × 11 × 103"
7932,2.33686,"2^2 × 3 × 661"
7933,1.00013,"7933"
7934,1.50038,"2 × 3967"
7935,1.67259,"3 × 5 × 23^2"
7936,2.06048,"2^8 × 31"
7937,1.00013,"7937"
7938,2.60658,"2 × 3^4 × 7^2"
7939,1.06109,"17 × 467"
7940,2.10529,"2^2 × 5 × 397"
7941,1.33384,"3 × 2647"
7942,1.72702,"2 × 11 × 19^2"
7943,1.10588,"13^2 × 47"
7944,2.50755,"2^3 × 3 × 331"
7945,1.37747,"5 × 7 × 227"
7946,1.56305,"2 × 29 × 137"
7947,1.44608,"3^2 × 883"
7948,1.75088,"2^2 × 1987"
7949,1.00013,"7949"
7950,2.52679,"2 × 3 × 5^2 × 53"
7951,1.00013,"7951"
7952,2.24547,"2^4 × 7 × 71"
7953,1.46058,"3 × 11 × 241"
7954,1.55243,"2 × 41 × 97"
7955,1.26109,"5 × 37 × 43"
7956,2.88235,"2^2 × 3^2 × 13 × 17"
7957,1.023,"73 × 109"
7958,1.57426,"2 × 23 × 173"
7959,1.52783,"3 × 7 × 379"
7960,2.26131,"2^3 × 5 × 199"
7961,1.05514,"19 × 419"
7962,2.00151,"2 × 3 × 1327"
7963,1.00013,"7963"
7964,1.91964,"2^2 × 11 × 181"
7965,1.80791,"3^3 × 5 × 59"
7966,1.7173,"2 × 7 × 569"
7967,1.03627,"31 × 257"
7968,2.65663,"2^5 × 3 × 83"
7969,1.07868,"13 × 613"
7970,1.80226,"2 × 5 × 797"
7971,1.33384,"3 × 2657"
7972,1.75088,"2^2 × 1993"
7973,1.22814,"7 × 17 × 67"
7974,2.17156,"2 × 3^2 × 443"
7975,1.39937,"5^2 × 11 × 29"
7976,1.87688,"2^3 × 997"
7977,1.33383,"3 × 2659"
7978,1.50038,"2 × 3989"
7979,1.02268,"79 × 101"
7980,3.36842,"2^2 × 3 × 5 × 7 × 19"
7981,1.04649,"23 × 347"
7982,1.62065,"2 × 13 × 307"
7983,1.44607,"3^2 × 887"
7984,1.94138,"2^4 × 499"
7985,1.20075,"5 × 1597"
7986,2.19985,"2 × 3 × 11^3"
7987,1.1704,"7^2 × 163"
7988,1.75088,"2^2 × 1997"
7989,1.33383,"3 × 2663"
7990,1.94643,"2 × 5 × 17 × 47"
7991,1.02415,"61 × 131"
7992,2.85285,"2^3 × 3^3 × 37"
7993,1.00013,"7993"
7994,1.71729,"2 × 7 × 571"
7995,1.7651,"3 × 5 × 13 × 41"
7996,1.75088,"2^2 × 1999"
7997,1.09241,"11 × 727"
7998,2.11253,"2 × 3 × 31 × 43"
7999,1.05513,"19 × 421"
8000,2.4765,"2^6 × 5^3"
8001,1.66379,"3^2 × 7 × 127"
8002,1.50037,"2 × 4001"
8003,1.02562,"53 × 151"
8004,2.51874,"2^2 × 3 × 23 × 29"
8005,1.20075,"5 × 1601"
8006,1.50037,"2 × 4003"
8007,1.42076,"3 × 17 × 157"
8008,2.51748,"2^3 × 7 × 11 × 13"
8009,1.00012,"8009"
8010,2.62921,"2 × 3^2 × 5 × 89"
8011,1.00012,"8011"
8012,1.75087,"2^2 × 2003"
8013,1.33383,"3 × 2671"
8014,1.50037,"2 × 4007"
8015,1.37742,"5 × 7 × 229"
8016,2.5988,"2^4 × 3 × 167"
8017,1.00012,"8017"
8018,1.58643,"2 × 19 × 211"
8019,1.63562,"3^6 × 11"
8020,2.10524,"2^2 × 5 × 401"
8021,1.07867,"13 × 617"
8022,2.29768,"2 × 3 × 7 × 191"
8023,1.02306,"71 × 113"
8024,2.01894,"2^3 × 17 × 59"
8025,1.66879,"3 × 5^2 × 107"
8026,1.50037,"2 × 4013"
8027,1.04647,"23 × 349"
8028,2.53911,"2^2 × 3^2 × 223"
8029,1.21161,"7 × 31 × 37"
8030,1.99054,"2 × 5 × 11 × 73"
8031,1.33383,"3 × 2677"
8032,1.97659,"2^5 × 251"
8033,1.03822,"29 × 277"
8034,2.17476,"2 × 3 × 13 × 103"
8035,1.20075,"5 × 1607"
8036,2.08537,"2^2 × 7^2 × 41"
8037,1.55282,"3^2 × 19 × 47"
8038,1.50037,"2 × 4019"
8039,1.00012,"8039"
8040,3.04478,"2^3 × 3 × 5 × 67"
8041,1.18194,"11 × 17 × 43"
8042,1.50037,"2 × 4021"
8043,1.52779,"3 × 7 × 383"
8044,1.75087,"2^2 × 2011"
8045,1.20075,"5 × 1609"
8046,2.23714,"2 × 3^3 × 149"
8047,1.07866,"13 × 619"
8048,1.94135,"2^4 × 503"
8049,1.33383,"3 × 2683"
8050,2.21814,"2 × 5^2 × 7 × 23"
8051,1.02248,"83 × 97"
8052,2.58718,"2^2 × 3 × 11 × 61"
8053,1.00012,"8053"
8054,1.50037,"2 × 4027"
8055,1.74302,"3^2 × 5 × 179"
8056,2.01092,"2^3 × 19 × 53"
8057,1.14385,"7 × 1151"
8058,2.14445,"2 × 3 × 17 × 79"
8059,1.00012,"8059"
8060,2.33449,"2^2 × 5 × 13 × 31"
8061,1.33383,"3 × 2687"
8062,1.56289,"2 × 29 × 139"
8063,1.0924,"11 × 733"
8064,3.28869,"2^7 × 3^2 × 7"
8065,1.20074,"5 × 1613"
8066,1.55467,"2 × 37 × 109"
8067,1.33383,"3 × 2689"
8068,1.75087,"2^2 × 2017"
8069,1.00012,"8069"
8070,2.40892,"2 × 3 × 5 × 269"
8071,1.14385,"7 × 1153"
8072,1.87686,"2^3 × 1009"
8073,1.66481,"3^3 × 13 × 23"
8074,1.64082,"2 × 11 × 367"
8075,1.38204,"5^2 × 17 × 19"
8076,2.3368,"2^2 × 3 × 673"
8077,1.02959,"41 × 197"
8078,1.71726,"2 × 7 × 577"
8079,1.33383,"3 × 2693"
8080,2.34802,"2^4 × 5 × 101"
8081,1.00012,"8081"
8082,2.17149,"2 × 3^2 × 449"
8083,1.02437,"59 × 137"
8084,1.8288,"2^2 × 43 × 47"
8085,2.03043,"3 × 5 × 7^2 × 11"
8086,1.62058,"2 × 13 × 311"
8087,1.00012,"8087"
8088,2.50742,"2^3 × 3 × 337"
8089,1.00012,"8089"
8090,1.80222,"2 × 5 × 809"
8091,1.54245,"3^2 × 29 × 31"
8092,2.12457,"2^2 × 7 × 17^2"
8093,1.00012,"8093"
8094,2.13491,"2 × 3 × 19 × 71"
8095,1.20074,"5 × 1619"
8096,2.24111,"2^5 × 11 × 23"
8097,1.33383,"3 × 2699"
8098,1.50037,"2 × 4049"
8099,1.2446,"7 × 13 × 89"
8100,3.2416,"2^2 × 3^4 × 5^2"
8101,1.00012,"8101"
8102,1.50037,"2 × 4051"
8103,1.38813,"3 × 37 × 73"
8104,1.87685,"2^3 × 1013"
8105,1.20074,"5 × 1621"
8106,2.29756,"2 × 3 × 7 × 193"
8107,1.11558,"11^2 × 67"
8108,1.75086,"2^2 × 2027"
8109,1.55827,"3^2 × 17 × 53"
8110,1.80222,"2 × 5 × 811"
8111,1.00012,"8111"
8112,2.79734,"2^4 × 3 × 13^2"
8113,1.22273,"7 × 19 × 61"
8114,1.50037,"2 × 4057"
